text,intent
Do I need to replace my helmet?,Cost Estimation
My bike was stolen what should I do?,Fallback Intent
What types or choices of bikes do I have in your store?,Bike Types
Do you rent bikes?,Bike Types
I'm a student and I'm doing a project...,Fallback Intent
Can I bring my dog into your shop?,Fallback Intent
Do you match prices?,Fallback Intent
can I get an appointment tomorrow?,Make Appointment
How much to repair my bike?,Cost Estimation
How do I know what size tire/tube I need?,Fallback Intent
What's the cost of repair?,Cost Estimation
Raise the seat,Make Appointment
How long does it take to repair my bike?,Cost Estimation
bike for a 10-year-old girl,Bike Types
Price of changing the head lights,Cost Estimation
How to request a return?,Return Policy
lighting problem,Make Appointment
Do you sell used bikes?,Bike Types
Can I come in after 5pm?,Hours
regular check up,Make Appointment
I'd like to upgrade my bike. Do you do trade-in?,Trade-in Options
How to request a refund?,Return Policy
Do you open on Sunday afternoon?,Hours
need a bike for commute,Bike Types
Do you do special orders?,Bike Types
How often should I get a tune-up?,Cost Estimation
Can you ship my bike?,Fallback Intent
How often do I need to lubricate my chain?,Fallback Intent
What's the business hours?,Hours
I need to return a bike, can I get a full refund?	Return Policy
Can I test ride bikes?,Bike Types
Which bike is qualified for return?,Return Policy
can you take my old one?,Trade-in Options
Do you rent your space for special events?,Fallback Intent
What time do you often close on Friday?,Hours
My bike doesn't feel right. need a fix.,Make Appointment
how to trade in?,Trade-in Options
